"","CNTRY_NAME","zone","MeanCountryInvert","SDCountryInvert"
"1","Angola",2,0.519949479214171,0.05207613257762
"2","Benin",4,0.606493505140011,0.0883482486411573
"3","Burundi",7,0.466622628185375,0.0604588638504634
"4","Cameroon",9,0.525340256568616,0.0806616779562434
"5","Central African Republic",11,0.515353722417309,0.0810836734268605
"6","Comoros",13,0.478725123160945,0.0801452369245426
"7","Mayotte",15,0.542566233095915,0.0485982188441645
"8","Nigeria",16,0.520554942522584,0.0591994080519865
"9","Congo",18,0.568868891789437,0.0891885404742507
"10","Congo, DRC",19,0.545870678251372,0.098271736857696
"11","Cote d'Ivoire",20,0.527139683255942,0.0874453877803022
"12","Equatorial Guinea",22,0.500368663834369,0.0762454074899379
"13","Ethiopia",24,0.573766656680706,0.0811287061039077
"14","Gabon",26,0.50011479536019,0.075719474450223
"15","Ghana",27,0.558781922074157,0.108464034871145
"16","Guinea",28,0.527895178454738,0.0808212424741651
"17","Kenya",36,0.553155336191172,0.101282680711324
"18","Liberia",38,0.567750449455113,0.0817998276333209
"19","Madagascar",40,0.559228355360313,0.081201846111434
"20","Mauritius",44,0.547107342301993,0.0780778400657152
"21","Morocco",45,0.44935757659743,0.043450704857484
"22","Mozambique",46,0.563083668823071,0.0992171069863831
"23","Rwanda",49,0.494522835873636,0.0734966818056155
"24","Reunion",50,0.546689716291774,0.108743785267945
"25","Sao Tome & Principe",51,0.415512178672685,0.00279357952448006
"26","Sierra Leone",53,0.586673193608235,0.0847900620937015
"27","Somalia",54,0.634990650902335,0.0898596487363341
"28","Tanzania",56,0.553184896733675,0.0917225413036756
"29","South Africa",57,0.540503368674991,0.0828753871001059
"30","South Sudan",58,0.488889156806626,0.0558714606965666
"31","Swaziland",59,0.473293342157729,0.0775234097879067
"32","Togo",62,0.491732066205632,0.0643006712351714
"33","Uganda",64,0.521062598468178,0.0813383350057974
"34","Zambia",66,0.539893711914496,0.0937753519750837
"35","Zimbabwe",67,0.633260975042529,0.0709104466881255
"36","Portugal",68,0.389325983003071,0.0701343491317162
"37","Afghanistan",70,0.40829642685601,0.0226725282949958
"38","Bangladesh",71,0.588052382848732,0.0702150942702996
"39","Bhutan",72,0.57654492134936,0.0804406413845636
"40","Myanmar",74,0.616080035966525,0.0878899715151775
"41","Cambodia",75,0.588613612925419,0.109808711181404
"42","China",76,0.506092371729122,0.0801873095560866
"43","Hong Kong (China)",77,0.494235295760765,0.0659980610160623
"44","India",86,0.528203025260559,0.0722807751177535
"45","Japan",87,0.479037143739223,0.0556691884248074
"46","Laos",91,0.645864635097628,0.100243146981543
"47","Nepal",95,0.507568950965006,0.052620963737634
"48","Pakistan",97,0.45937600407968,0.0508130976808048
"49","South Korea",99,0.390809913357943,0.0581777612932679
"50","Sri Lanka",100,0.544249655453824,0.10158277627887
"51","Taiwan",101,0.516953271725417,0.107797102651449
"52","Thailand",103,0.587758820955522,0.10143130385098
"53","Vietnam",106,0.562342745802216,0.0939163154286669
"54","Iran",137,0.553905982974853,0.0524262331244961
"55","Iraq",138,0.552416832823502,0.0131638844519368
"56","Anguilla",182,0.412814572453499,0.000741867408485235
"57","Antigua & Barbuda",183,0.455228839144611,0.0405587048333187
"58","Belize",185,0.529243259674079,0.081401464820815
"59","Bermuda",186,0.536166628201803,0.00337481703896606
"60","Cayman Is.",188,0.412628325488832,0.00340014422792003
"61","Colombia",190,0.523220112452412,0.0934469322673751
"62","Costa Rica",191,0.520931021709188,0.106361077626936
"63","Cuba",192,0.521799874005743,0.0776707249737057
"64","Dominica",193,0.430503808156304,0.03764393072738
"65","Dominican Republic",194,0.524018747239448,0.0977201176872419
"66","El Salvador",195,0.66004378771792,0.0673785188101981
"67","Grenada",197,0.46402094537212,0.0530959447301546
"68","Guadeloupe",198,0.525476038455963,0.0889329718934468
"69","Guatemala",199,0.559028202395631,0.0887605066796533
"70","Haiti",200,0.532452213123977,0.0894306115542506
"71","Honduras",201,0.538697111472108,0.0871283068920011
"72","Jamaica",205,0.570486041445171,0.0914902143738831
"73","Martinique",206,0.544700363032958,0.103815927260134
"74","Mexico",207,0.520942126432077,0.0763702299661488
"75","Montserrat",208,0.421816703202068,0.00196364899391168
"76","Nicaragua",210,0.534440314216022,0.11031411918264
"77","Panama",212,0.486179350329797,0.0774882181247983
"78","Puerto Rico",213,0.538341296694219,0.107129608939588
"79","St. Kitts & Nevis",216,0.422852668692084,0.0292348540442702
"80","St. Lucia",217,0.515437538152213,0.0921056811794177
"81","St. Vincent & the Grenadines",220,0.57509828155691,0.055792924693631
"82","Sint Eustatius (Neth)",221,0.414176360649221,0.00452116318432578
"83","The Bahamas",223,0.444986850491002,0.0422579132449371
"84","Turks & Caicos Is.",224,0.441834693893473,0.0235723784625783
"85","United States",225,0.482301255524279,0.0548528720771121
"86","British Virgin Is.",226,0.543332237005234,0.00176066366993182
"87","Virgin Is.",227,0.510758205232295,0.0313204318546273
"88","Australia",234,0.551483803871521,0.0887940221471407
"89","Brunei",235,0.553334816706784,0.0743244120505184
"90","Fiji",239,0.523905459991098,0.0999411676437505
"91","Micronesia",240,0.353040206317718,0.0296339113507464
"92","Indonesia",242,0.493788065780144,0.0877350228436117
"93","Malaysia",246,0.517083899589478,0.0974196194651237
"94","New Caledonia",247,0.558537258903175,0.0894004232292553
"95","New Zealand",251,0.496141504437204,0.0928201267906928
"96","Papua New Guinea",253,0.487490204154544,0.0753667448847718
"97","Philippines",254,0.507958828147621,0.0844336065365352
"98","Palau",256,0.429452254005322,0.0450194892845639
"99","Solomon Is.",257,0.482021738455468,0.0681673452629034
"100","Singapore",258,0.482380123712398,0.066147356922188
"101","Timor Leste",260,0.475823873981503,0.0829213600156985
"102","Vanuatu",263,0.468235845438693,0.0772633168625835
"103","Argentina",267,0.574971357115327,0.0976427776157593
"104","Bolivia",268,0.503341033452811,0.0756842985979035
"105","Brazil",269,0.526588239148846,0.0951898426374912
"106","Chile",270,0.574038490483561,0.0922225350569352
"107","Ecuador",271,0.495865916067917,0.0799758437460133
"108","French Guiana",272,0.572839807249979,0.0662382819432917
"109","Guyana",274,0.528169716833546,0.0988078754645095
"110","Suriname",275,0.538639567947759,0.0840055213390615
"111","Paraguay",277,0.469021704058311,0.0698264318677077
"112","Peru",278,0.50523627335608,0.0729064372053354
"113","Trinidad & Tobago",280,0.528290191408375,0.0752593329375775
"114","Uruguay",283,0.507825039327145,0.0337924289495223
"115","Venezuela",284,0.518650890893633,0.0848116645849708
